,pose_rank
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,1
11,2
12,3
13,4
14,5
15,6
16,1
17,2
18,3
19,4
20,5
21,6
22,7
23,8
24,9
25,10
26,11
27,12
28,13
29,14
30,15
31,16
32,17
33,18
34,19
35,20
36,1
37,2
38,3
39,4
40,5
41,1
42,2
43,3
44,4
45,5
46,6
47,7
48,8
49,9
50,10
51,11
52,12
53,13
54,14
55,15
56,16
57,17
58,18
59,1
60,2
61,1
62,2
63,1
64,2
65,3
66,4
67,5
68,6
69,7
70,8
71,9
72,10
73,11
74,12
75,13
76,14
77,15
78,16
79,1
80,2
81,3
82,4
83,5
84,6
85,1
86,2
87,3
88,4
89,5
90,6
91,7
92,8
93,9
94,10
95,11
96,12
97,13
98,14
99,15
100,16
101,17
102,1
103,2
104,3
105,4
106,1
107,2
108,3
109,4
110,5
111,6
112,7
113,8
114,9
115,10
116,11
117,12
118,13
119,14
120,15
121,16
122,17
123,18
124,19
125,20
126,1
127,2
128,3
129,4
130,5
131,6
132,7
133,8
134,1
135,2
136,1
137,2
138,3
139,4
140,5
141,6
142,7
143,8
144,9
145,10
146,11
147,12
148,13
149,14
150,15
151,16
152,17
153,18
154,19
155,1
156,2
157,3
158,4
159,5
160,6
161,7
162,8
163,9
164,1
165,2
166,3
167,4
168,5
169,6
170,7
171,8
172,9
173,10
174,11
175,12
176,13
177,1
178,2
179,3
180,4
181,5
182,6
183,7
184,1
185,2
186,3
187,4
188,5
189,6
190,7
191,8
192,9
193,10
194,11
195,12
196,13
197,14
198,15
199,16
200,17
201,18
202,19
203,20
204,1
205,2
206,3
207,4
208,5
209,6
210,7
211,8
212,9
213,10
214,11
215,12
216,13
217,14
218,15
219,16
220,17
221,18
222,19
223,20
224,1
225,2
226,3
227,4
228,5
229,6
230,7
231,8
232,1
233,2
234,3
235,4
236,5
237,6
238,7
239,8
240,9
241,10
242,1
243,2
244,3
245,4
246,5
247,6
248,7
249,8
250,9
251,10
252,11
253,12
254,13
255,14
256,15
257,16
258,17
259,18
260,19
261,20
